,0
201,-0.5506797
202,0.04651714
203,-0.15147795
204,0.2355615
205,-0.071876206
206,-0.35241413
207,0.64149916
208,-0.17839536
209,-0.07693706
210,-0.4560145
211,-0.4345649
212,-0.56088966
213,-0.026831387
214,1.4466207
215,0.084590785
216,-0.1394934
217,0.1855524
218,0.23886175
219,0.7876921
220,-0.51001257
221,-0.5514146
222,-0.82601583
223,0.07904317
224,-1.5649679
225,-0.5954907
226,-0.30577856
227,-0.12943308
228,0.39404064
229,0.3030288
230,-0.5343025
231,-0.39211354
232,0.5265966
233,0.040692683
234,0.03109009
235,0.18073365
236,0.8972973
237,-1.03141
238,-0.35713094
239,0.5025998
240,-0.49626136
241,1.3763498
242,0.0362217
243,0.31737918
244,-0.65153396
245,-0.07520893
246,-0.21312714
247,-0.5067956
248,1.4373511
249,-0.2565099
250,-0.11483524
251,-0.22952332
252,-0.6904229
253,-0.23683238
254,-0.28366768
255,-0.2487555
256,-0.2237855
257,0.90137
258,0.10608901
259,-0.37957075
260,0.11489636
261,-0.45615783
262,-0.085786276
263,-0.95911
264,1.591897
265,-0.46496287
266,1.9322965
267,-0.2890488
268,0.32697007
269,0.036980443
270,0.102252185
271,-0.36346716
272,0.18898337
273,0.0042376914
274,0.0027088486
275,-1.0158631
276,-0.38623428
277,-0.0955257
278,0.1479293
279,0.12210044
280,0.32015803
281,-0.58348066
282,0.12070681
283,0.22657382
284,-0.08777626
285,-0.43983316
286,-0.7740586
287,0.3971413
288,0.16503936
289,-0.062364727
290,0.32441312
291,0.33321214
292,0.26896745
293,-0.25421655
294,-0.17174901
295,0.0506939
296,0.015058164
297,3.0
298,-0.81886506
299,0.27577144
300,0.89892775
301,0.50098807
302,-0.48265064
303,1.0652298
304,-0.88192284
305,-0.91139287
306,0.22717918
307,-0.5347029
308,-0.46045098
309,-0.2106427
310,0.5057159
311,-0.23061079
312,-0.9577011
313,0.12446914
314,2.2468808
315,0.41307417
316,-1.2556418
317,0.14561133
318,0.30323842
319,-1.067651
320,0.017678926
321,-0.6584984
322,-0.32454607
323,3.0
324,-0.10677212
325,-0.03262935
326,0.13437986
327,-0.45373288
328,-0.33906713
329,3.0
330,-0.45146236
331,0.013559427
332,-0.3571477
333,-0.36039868
334,-0.2189123
335,3.0
336,1.2238162
337,-0.1404299
338,-0.57280886
339,-0.34554705
340,1.754138
341,-0.8942304
342,1.6390775
343,0.25243407
344,-0.10214927
345,1.0054276
346,2.5887694
347,-0.21131761
348,0.049127605
349,-0.39935997
350,-0.83283085
351,-0.22335215
352,-0.35487562
353,-0.25884426
354,0.007752421
355,-1.4242399
356,-0.105387375
357,-0.06706312
358,-0.50477296
359,-1.2270471
360,0.2578307
361,-0.38966447
362,-0.79679596
363,0.9569708
364,0.4959928
365,-0.35347924
366,-0.41407382
367,-0.52940327
368,0.13581267
369,-0.16514026
370,1.3459715
371,0.21441011
372,1.7480915
373,2.1428843
374,-0.21311891
375,-0.19374578
376,-1.1612374
377,-0.3730268
378,1.4646528
379,1.7721517
380,-0.46969256
381,-0.20350906
382,-0.6654116
383,0.27850378
384,1.1753962
385,-0.4788519
386,-0.27011463
387,-0.6041775
388,1.284442
389,-0.22301415
390,-0.23397414
391,-0.31213444
392,0.016968869
393,-0.5780017
394,-0.25463638
395,-0.19363178
396,-0.8953466
397,-0.9446242
398,-0.9255039
399,-0.35081124
400,-0.76991695
401,-0.5199435
402,3.0
403,-0.28811806
404,-0.23177819
405,-0.75593704
406,-0.20223281
407,3.0
408,-1.5746578
409,-0.09549295
410,0.3807885
411,-0.03327445
412,1.1279343
413,0.19513802
414,0.16007142
415,0.76084524
416,0.019334732
417,0.517213
418,-0.1256527
419,3.0
420,0.577835
421,0.20086703
422,-0.02391839
423,-0.32432544
424,-0.07157748
425,-0.28130373
426,-0.53831494
427,-0.7098235
428,1.213068
429,-0.57516664
430,-0.26619405
431,-0.725665
432,-0.43019265
433,0.79480064
434,0.3888209
435,0.18868184
436,-0.17666079
437,0.14605565
438,-0.37874082
439,0.15997191
440,-0.19615571
441,1.8280334
442,-0.22656113
443,0.55149645
444,-0.68483764
445,0.4505869
446,1.1153582
447,0.17441888
448,-0.29570323
449,-0.5314288
450,-0.58561635
451,-0.22783306
452,0.3899261
453,-1.4893078
454,-0.75332314
455,0.06480244
456,-0.23569499
457,0.008436572
458,-0.3918185
459,-0.3897742
460,-0.41874564
461,-0.63619053
462,0.8527115
463,-0.60987157
464,-0.16004425
465,-0.6246494
466,2.3954864
467,0.3875244
468,-0.16807307
469,-0.54389304
470,0.3892544
471,0.2913408
472,-0.058840573
473,0.61248535
474,0.1548315
475,0.29980925
476,3.0
477,0.21545063
478,0.13347268
479,-0.28324735
480,-0.67384845
481,-0.5801273
482,-0.058638223
483,-0.74314964
484,-0.4471151
485,0.2647637
486,0.4794616
487,0.37359387
488,0.24462178
489,-0.547522
490,-0.023080956
491,-0.051967356
